what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285680166964
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285680175630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680271968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680273730
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680311045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680311377
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680324440
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680329780
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680346858
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680347213
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680530889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680605897
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285680630287
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285680639747
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285680669912
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1285680673373
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680694754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680697405
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285680727893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285680880526
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285681156167
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1285681177889
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285681250644
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.exit",1285681251189
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1285681251298
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1285681251299
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1285681251299
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1285681251300
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1285681251300
