what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1285608407038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608412877
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608418414
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608433726
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608450783
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1285608454336
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608479231
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608479423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608719611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608722186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608725902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608726050
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608816636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608816815
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608944563
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608998040
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609029385
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609033231
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609065759
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609081293
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609112077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609115630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609123253
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609127865
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609138616
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609140719
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609154136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609155326
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609161316
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609163979
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609164485
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609169782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609178773
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609202218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609302248
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609303913
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1285609305722
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609383136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609408932
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609518208
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609554881
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609559023
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609559749
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609560271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609563714
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1285609566923
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609572963
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609594958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1285609613907
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1285609619185
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609622935
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609624041
